timestamp,openPrice,highPrice,lowPrice,closePrice
2026-01-19 06:15:00,"{'bid': 4669.43, 'ask': 4669.73}","{'bid': 4672.17, 'ask': 4672.47}","{'bid': 4668.81, 'ask': 4669.11}","{'bid': 4669.11, 'ask': 4669.41}"
2026-01-19 06:30:00,"{'bid': 4669.1, 'ask': 4669.4}","{'bid': 4674.1, 'ask': 4674.4}","{'bid': 4663.83, 'ask': 4664.13}","{'bid': 4664.27, 'ask': 4664.57}"
2026-01-19 06:45:00,"{'bid': 4664.29, 'ask': 4664.59}","{'bid': 4671.8, 'ask': 4672.1}","{'bid': 4664.13, 'ask': 4664.43}","{'bid': 4669.91, 'ask': 4670.21}"
2026-01-19 07:00:00,"{'bid': 4669.9, 'ask': 4670.2}","{'bid': 4670.42, 'ask': 4670.72}","{'bid': 4666.69, 'ask': 4666.99}","{'bid': 4669.16, 'ask': 4669.46}"
2026-01-19 07:15:00,"{'bid': 4669.2, 'ask': 4669.5}","{'bid': 4672.57, 'ask': 4672.87}","{'bid': 4668.38, 'ask': 4668.68}","{'bid': 4669.78, 'ask': 4670.08}"
2026-01-19 07:30:00,"{'bid': 4669.8, 'ask': 4670.1}","{'bid': 4676.47, 'ask': 4676.77}","{'bid': 4669.68, 'ask': 4669.98}","{'bid': 4672.32, 'ask': 4672.62}"
2026-01-19 07:45:00,"{'bid': 4672.38, 'ask': 4672.68}","{'bid': 4678.92, 'ask': 4679.22}","{'bid': 4672.36, 'ask': 4672.66}","{'bid': 4677.83, 'ask': 4678.13}"
2026-01-19 08:00:00,"{'bid': 4677.84, 'ask': 4678.14}","{'bid': 4678.44, 'ask': 4678.74}","{'bid': 4668.17, 'ask': 4668.47}","{'bid': 4669.68, 'ask': 4669.98}"
2026-01-19 08:15:00,"{'bid': 4669.7, 'ask': 4670.0}","{'bid': 4669.99, 'ask': 4670.29}","{'bid': 4663.67, 'ask': 4663.97}","{'bid': 4667.42, 'ask': 4667.72}"
2026-01-19 08:30:00,"{'bid': 4667.41, 'ask': 4667.71}","{'bid': 4669.64, 'ask': 4669.94}","{'bid': 4664.68, 'ask': 4664.98}","{'bid': 4664.68, 'ask': 4664.98}"
2026-01-19 08:45:00,"{'bid': 4664.69, 'ask': 4664.99}","{'bid': 4666.26, 'ask': 4666.56}","{'bid': 4661.83, 'ask': 4662.13}","{'bid': 4665.07, 'ask': 4665.37}"
2026-01-19 09:00:00,"{'bid': 4665.05, 'ask': 4665.35}","{'bid': 4673.8, 'ask': 4674.1}","{'bid': 4663.66, 'ask': 4663.96}","{'bid': 4669.37, 'ask': 4669.67}"
2026-01-19 09:15:00,"{'bid': 4669.33, 'ask': 4669.63}","{'bid': 4670.99, 'ask': 4671.29}","{'bid': 4667.13, 'ask': 4667.43}","{'bid': 4669.3, 'ask': 4669.6}"
2026-01-19 09:30:00,"{'bid': 4669.31, 'ask': 4669.61}","{'bid': 4670.85, 'ask': 4671.15}","{'bid': 4666.61, 'ask': 4666.91}","{'bid': 4667.77, 'ask': 4668.07}"
