symbol,direction,lot,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,result,pnl,equity
XAUUSD,long,0.013,4396.43,4394.18,4406.43,2026-01-05 02:30:00,4394.18,2026-01-05 02:45:00,loss,-2.925,97.075
XAUUSD,long,0.002,4463.93,4454.04,4473.93,2026-01-06 04:30:00,4473.93,2026-01-06 06:30:00,win,2.0,99.075
XAUUSD,short,0.001,4412.19,4427.56,4402.19,2026-01-08 13:15:00,4427.56,2026-01-08 13:30:00,loss,-1.53700000000008,97.53799999999993
XAUUSD,long,0.001,4482.97,4458.8,4492.97,2026-01-09 15:00:00,4492.97,2026-01-09 15:15:00,win,1.0,98.53799999999993
XAUUSD,long,0.004,4638.77,4631.56,4648.77,2026-01-14 10:15:00,4631.56,2026-01-14 10:30:00,loss,-2.8840000000000146,95.65399999999991
XAUUSD,long,0.002,4699.81,4688.84,4709.81,2026-01-20 06:15:00,4709.81,2026-01-20 06:45:00,win,2.0,97.65399999999991
XAUUSD,long,0.001,4776.11,4758.59,4786.11,2026-01-21 01:00:00,4786.11,2026-01-21 01:45:00,win,1.0,98.65399999999991
XAUUSD,long,0.001,4899.17,4876.33,4909.17,2026-01-22 18:45:00,4909.17,2026-01-22 19:00:00,win,1.0,99.65399999999991
