trading_day,prev_high_bid,prev_high_ask,prev_low_bid,prev_low_ask
2026-01-29,5595.25,5595.75,5098.1,5099.3
2026-01-29,5595.25,5595.75,5098.1,5099.3
2026-01-29,5595.25,5595.75,5098.1,5099.3
2026-01-29,5595.25,5595.75,5098.1,5099.3
2026-01-29,5595.25,5595.75,5098.1,5099.3
