timestamp,open,high,low,close,volume,start_time,end_time,closed_at,epic
2026-02-09T10:31:00,70844.95,70845.15,70807.55,70828.1,353,2026-02-09T10:31:00,2026-02-09T10:32:00,2026-02-09T10:31:59.683710,BTCUSD
2026-02-09T10:32:00,70829.75,70846.45,70815.8,70844.3,296,2026-02-09T10:32:00,2026-02-09T10:33:00,2026-02-09T10:32:59.651321,BTCUSD
2026-02-09T10:33:00,70843.95,70843.95,70801.45,70801.65,324,2026-02-09T10:33:00,2026-02-09T10:34:00,2026-02-09T10:33:59.696473,BTCUSD
2026-02-09T10:34:00,70802.9,70824.05,70793.15,70793.9,319,2026-02-09T10:34:00,2026-02-09T10:35:00,2026-02-09T10:34:59.718306,BTCUSD
2026-02-09T10:35:00,70791.9,70838.6,70779.1,70824.5,358,2026-02-09T10:35:00,2026-02-09T10:36:00,2026-02-09T10:36:00.696470,BTCUSD
2026-02-09T10:36:00,70824.25,70875.25,70788.95,70864.9,391,2026-02-09T10:36:00,2026-02-09T10:37:00,2026-02-09T10:36:59.688139,BTCUSD
2026-02-09T10:37:00,70866.15,70868.2,70820.0,70835.95,425,2026-02-09T10:37:00,2026-02-09T10:38:00,2026-02-09T10:37:59.865796,BTCUSD
2026-02-09T10:38:00,70838.3,70838.3,70784.85,70789.55,388,2026-02-09T10:38:00,2026-02-09T10:39:00,2026-02-09T10:39:00.450424,BTCUSD
2026-02-09T10:39:00,70789.15,70790.05,70771.15,70778.45,256,2026-02-09T10:39:00,2026-02-09T10:40:00,2026-02-09T10:39:59.701307,BTCUSD
2026-02-09T10:40:00,70777.2,70833.65,70771.7,70809.35,274,2026-02-09T10:40:00,2026-02-09T10:41:00,2026-02-09T10:40:59.696026,BTCUSD
2026-02-09T10:41:00,70807.45,70862.25,70799.7,70824.3,274,2026-02-09T10:41:00,2026-02-09T10:42:00,2026-02-09T10:42:08.184970,BTCUSD
2026-02-09T10:42:00,70823.8,70825.5,70808.05,70816.35,143,2026-02-09T10:42:00,2026-02-09T10:43:00,2026-02-09T10:42:59.810047,BTCUSD
2026-02-09T13:35:00,70389.45,70391.65,70307.3,70373.5,492,2026-02-09T13:35:00,2026-02-09T13:36:00,2026-02-09T13:35:59.776578,BTCUSD
2026-02-09T13:36:00,70374.1,70376.25,70305.85,70306.55,413,2026-02-09T13:36:00,2026-02-09T13:37:00,2026-02-09T13:37:00.267539,BTCUSD
2026-02-09T13:37:00,70305.8,70387.1,70282.75,70385.6,423,2026-02-09T13:37:00,2026-02-09T13:38:00,2026-02-09T13:37:59.887785,BTCUSD
2026-02-09T13:38:00,70386.35,70404.75,70362.35,70385.1,348,2026-02-09T13:38:00,2026-02-09T13:39:00,2026-02-09T13:38:59.729384,BTCUSD
2026-02-09T13:39:00,70384.7,70484.8,70384.7,70421.25,439,2026-02-09T13:39:00,2026-02-09T13:40:00,2026-02-09T13:40:00.377235,BTCUSD
2026-02-09T13:40:00,70421.75,70487.1,70419.55,70477.5,369,2026-02-09T13:40:00,2026-02-09T13:41:00,2026-02-09T13:40:59.780057,BTCUSD
2026-02-09T13:45:00,70457.85,70458.85,70456.95,70456.95,8,2026-02-09T13:45:00,2026-02-09T13:46:00,2026-02-09T13:45:59.809786,BTCUSD
2026-02-09T13:46:00,70447.5,70447.5,70390.95,70400.15,210,2026-02-09T13:46:00,2026-02-09T13:47:00,2026-02-09T13:47:00.409960,BTCUSD
2026-02-09T13:47:00,70400.9,70406.15,70335.0,70338.45,411,2026-02-09T13:47:00,2026-02-09T13:48:00,2026-02-09T13:47:59.895902,BTCUSD
2026-02-09T13:48:00,70337.85,70337.85,70297.0,70303.8,396,2026-02-09T13:48:00,2026-02-09T13:49:00,2026-02-09T13:49:00.118673,BTCUSD
2026-02-09T13:49:00,70304.3,70323.05,70271.5,70289.6,444,2026-02-09T13:49:00,2026-02-09T13:50:00,2026-02-09T13:49:59.840042,BTCUSD
2026-02-09T13:50:00,70291.6,70342.35,70288.5,70294.05,398,2026-02-09T13:50:00,2026-02-09T13:51:00,2026-02-09T13:50:59.741893,BTCUSD
2026-02-09T13:51:00,70293.95,70294.05,70126.95,70163.0,580,2026-02-09T13:51:00,2026-02-09T13:52:00,2026-02-09T13:51:59.654079,BTCUSD
2026-02-09T13:52:00,70161.75,70201.95,70097.1,70195.75,548,2026-02-09T13:52:00,2026-02-09T13:53:00,2026-02-09T13:53:00.105815,BTCUSD
2026-02-09T13:53:00,70195.5,70211.05,70145.1,70174.15,537,2026-02-09T13:53:00,2026-02-09T13:54:00,2026-02-09T13:53:59.851166,BTCUSD
2026-02-09T13:54:00,70174.65,70176.3,70098.4,70139.35,459,2026-02-09T13:54:00,2026-02-09T13:55:00,2026-02-09T13:54:59.839425,BTCUSD
2026-02-09T13:56:00,70098.75,70153.3,70097.85,70133.65,407,2026-02-09T13:56:00,2026-02-09T13:57:00,2026-02-09T13:57:00.362297,BTCUSD
2026-02-09T13:58:00,70029.25,70052.3,69998.25,70051.0,376,2026-02-09T13:58:00,2026-02-09T13:59:00,2026-02-09T13:58:59.725679,BTCUSD
2026-02-09T13:59:00,70051.1,70051.1,69979.5,70008.35,541,2026-02-09T13:59:00,2026-02-09T14:00:00,2026-02-09T13:59:59.848349,BTCUSD
2026-02-09T14:00:00,70008.2,70024.4,69903.0,69932.5,553,2026-02-09T14:00:00,2026-02-09T14:01:00,2026-02-09T14:00:59.795316,BTCUSD
2026-02-09T15:21:00,69550.6,69601.7,69529.25,69583.3,344,2026-02-09T15:21:00,2026-02-09T15:22:00,2026-02-09T15:21:59.925380,BTCUSD
2026-02-09T15:22:00,69584.8,69591.0,69542.9,69550.2,386,2026-02-09T15:22:00,2026-02-09T15:23:00,2026-02-09T15:22:59.831334,BTCUSD
2026-02-09T15:23:00,69550.95,69551.45,69489.7,69520.0,538,2026-02-09T15:23:00,2026-02-09T15:24:00,2026-02-09T15:23:59.725447,BTCUSD
2026-02-09T15:24:00,69521.0,69541.0,69512.65,69540.35,442,2026-02-09T15:24:00,2026-02-09T15:25:00,2026-02-09T15:25:00.125708,BTCUSD
2026-02-09T15:26:00,69476.65,69479.35,69459.5,69459.5,36,2026-02-09T15:26:00,2026-02-09T15:27:00,2026-02-09T15:26:59.821855,BTCUSD
2026-02-09T15:27:00,69459.55,69534.25,69459.55,69498.6,412,2026-02-09T15:27:00,2026-02-09T15:28:00,2026-02-09T15:27:59.898508,BTCUSD
2026-02-09T15:28:00,69498.35,69529.7,69486.5,69508.25,385,2026-02-09T15:28:00,2026-02-09T15:29:00,2026-02-09T15:29:00.555979,BTCUSD
2026-02-09T15:29:00,69506.7,69540.6,69506.7,69539.7,375,2026-02-09T15:29:00,2026-02-09T15:30:00,2026-02-09T15:29:59.826165,BTCUSD
